approval_id,bank,elev_ft,event_id,files,flag_date,flag_member_id,hcollect_method_id,hdatum_id,height_above_gnd,hwm_environment,hwm_id,hwm_label,hwm_locationdescription,hwm_notes,hwm_quality_id,hwm_type_id,hwm_uncertainty,last_updated,last_updated_by,latitude_dd,longitude_dd,marker_id,peak_summary_id,site_id,stillwater,survey_date,survey_member_id,uncertainty,vcollect_method_id,vdatum_id,waterbody
7779,N/A,137.556,180,[],2017-09-06T05:00:00,1599,1,2,0.0,Riverine,21170,1,stake on NE side of bridge even with the end of the guardrail,,4,2,,,,29.91331,-96.08236,7,5249,20868,1.0,2017-09-11T05:00:00,1770,,6,2,bessies creek
9026,N/A,110.61,180,[],2017-09-17T05:00:00,1760,1,2,0.0,Riverine,23567,0917_1100_1,Debris line on fence of CR 256 & CR 3650 intersection.,,3,2,0.2,,,30.866918,-94.27161,5,5825,22265,1.0,2017-10-04T05:00:00,1760,0.505,6,2,Wolf Creek
10259,N/A,49.221,180,[],2017-09-15T05:00:00,1834,1,2,5.08,Riverine,23945,0915_1921_3,"US side of bridge on Heatherbrook Dr RB. On upstream column, upper line only",RTN in this area had a higher variability due to some nodes working intermittently,3,2,0.2,,,29.62171,-95.4707,4,6706,22467,1.0,2017-10-04T05:00:00,1770,0.5,2,2,Buffalo Bayou
9421,Left,95.0,180,[],2017-09-06T04:00:00,1791,1,2,0.0,Riverine,21163,0906_1515_1,"North of road, 15 ft West of bridge",level 3 survey; field reading 94.932; +0.03' GNSS adjustment,2,5,0.1,,,29.63564,-95.82327,6,6062,20866,1.0,2017-09-20T04:00:00,900,0.1,6,2,Jones Creek
9500,Right,151.97,180,[],2017-09-08T05:00:00,1772,2,2,0.0,Riverine,21635,0908_0805,"30ft from channel, 40ft from wood fence of backyard",,4,2,0.4,,,29.77226,-95.88716,8,6109,21171,1.0,2017-09-08T05:00:00,1772,0.0474,7,2,Willow Fork
7782,N/A,137.47,180,[],2017-09-06T05:00:00,1599,1,2,0.0,Riverine,21171,2,stake on SE side of bridge even with the edge of the guardrail,,4,2,,,,29.91331,-96.08236,7,5249,20868,1.0,2017-09-11T05:00:00,1770,,6,2,bessies creek
9023,N/A,122.23,180,[],2017-09-17T05:00:00,1760,1,2,0.0,Riverine,23568,0916_1700_1,"Orange painted stake right bank, downstream side of bridge.",,2,2,0.1,,,30.86645,-94.11556,7,5823,22266,1.0,2017-10-04T05:00:00,1760,0.256,6,2,Sandy Creek
9829,N/A,39.2,180,[],2017-09-09T04:00:00,1760,1,2,2.41,Riverine,22026,0909_1300_2,Seed line on the concrete downstream side,level 4 survey; field readings RTK 41.222-2.0 TD,1,5,0.03,,,29.4145,-95.237,2,6516,21419,1.0,2017-09-17T04:00:00,900,0.6,6,2,Unknown
9678,N/A,104.439,180,[],2017-09-10T05:00:00,1834,1,2,5.85,Riverine,24253,0909_1500_1,wash/oil line along wall of building,,5,9,0.5,,,30.185567,-95.377187,,6456,22643,1.0,2017-09-10T05:00:00,1834,0.1,6,2,San Jacinto River
10267,N/A,11.24,180,[],2017-09-21T05:00:00,1834,1,2,4.41,Riverine,24493,0921_1140_1,Seed line on backside of the Roseland Pavilion in Roseland Park on outside of window frame farthest from road,,1,5,0.01,,,29.72314,-94.94624,4,6634,22765,1.0,2013-09-28T05:00:00,1727,0.08,6,2,Cedar Bayou
9545,N/A,123.0,180,[],2017-09-11T05:00:00,1834,1,2,2.9,Riverine,22858,0911_0900_1,West end of bridge (RB) located on wooden abuttment on downstream side.,,5,5,0.5,,,29.52519,-96.16411,3,6415,21907,1.0,2017-09-28T05:00:00,1854,0.115,6,2,San Bernard River
9324,N/A,30.75,180,[],2017-09-12T05:00:00,1776,1,2,0.0,Riverine,22458,0912_1454_1,Distinct debris line marked with painted stake on north bank of canal. Located approximately 100 ft west of Bowie street.,,3,2,0.2,,,30.065216,-94.802831,7,5995,21711,1.0,2017-10-05T05:00:00,1770,0.05,6,2,Large canal
7784,N/A,136.237,180,[],2017-09-06T05:00:00,1599,1,2,5.06,Riverine,21172,3,tree in fence row on the SW side of the bridge 35 yards from the center line,,3,4,,,,29.91331,-96.08236,6,5249,20868,1.0,2017-09-11T05:00:00,1770,,6,2,bessies creek
10187,N/A,123.81,180,[],2017-09-11T05:00:00,1834,1,2,2.6,Riverine,22859,0911_0900_2,East end of bridge (LB) on upstream side nailed into oak tree to left of big red gate.,,5,1,0.5,,,29.52546,-96.16373,5,6415,21907,1.0,2017-09-28T05:00:00,1854,0.115,6,2,San Bernard River
8301,N/A,148.8,180,[],2017-09-08T05:00:00,1599,1,2,2.34,Riverine,21637,0908_1551_2,Fence post with nail.tab and flagging tape on the SW side of CR 444 just N of the bridge,,3,5,0.2,,,29.21893,-96.97,6,5442,21173,1.0,2017-09-21T05:00:00,1760,0.058,6,2,Lavaca River
9024,N/A,123.21,180,[],2017-09-17T05:00:00,1760,1,2,0.0,Riverine,23569,0916_1700_2,"Green paint mark near top of concrete apron, upstream side of bridge, right bank.",,3,1,0.2,,,30.86674,-94.11569,7,5823,22266,1.0,2017-10-04T05:00:00,1760,0.256,6,2,Sandy Creek
9831,N/A,35.4,180,[],2017-09-09T04:00:00,1760,1,2,4.7,Riverine,22027,0909_1320_1,Debris in the tree line,"level 4 survey; field readings 35.444', ran direct to level line mark",1,5,0.02,,,29.39617,-95.22935,2,6517,21421,1.0,2017-09-18T04:00:00,900,0.5,6,2,Unknown
9922,N/A,9.19,180,[],2017-09-23T05:00:00,1833,1,2,1.1,Riverine,22860,0914_1110_1,Mud line on trailer at Boundocks mobile park,,3,1,0.2,,,29.866589,-94.22428,2,6647,21908,1.0,2017-09-23T05:00:00,1837,0.35,6,2,North Fork Taylor Bayou
9832,N/A,34.4,180,[],2017-09-09T04:00:00,1760,1,2,0.96,Riverine,22028,0909_1320_2,Debris in the wood of the tree,level 4 survey; field readings RTK 34.711+0.36 TD,1,5,0.02,,,29.39617,-95.22935,2,6517,21421,1.0,2017-09-18T04:00:00,900,0.5,6,2,Unknown
