hwm_id,lon,lat,x_utm10,y_utm10,cell,elev_ft,elev_m,cell_z_m,above_bed_m,is_above_bed,vdatum_id,vdatum,hwm_quality_id,hwm_quality,hwm_environment,survey_date,waterbody
21635,-95.88716,29.77226,3170154.0,3622977.5,306465,151.97,46.320,45.57,0.750,yes,2,NAVD88,4,poor,Riverine,2017-09-08T05:00:00,Willow Fork
21638,-95.88716,29.77226,3170154.0,3622977.5,306465,151.28,46.110,45.57,0.540,yes,2,NAVD88,4,poor,Riverine,2017-09-08T05:00:00,Willow Fork
22029,-95.77355,29.85088,3179394.5,3635134.2,1772208,142.53,43.443,42.87,0.573,yes,2,NAVD88,4,poor,Riverine,2017-09-10T05:00:00,South Mayde Cr
22030,-95.77282,29.8518,3179441.4,3635260.9,1772098,142.27,43.364,43.23,0.134,yes,2,NAVD88,4,poor,Riverine,2017-09-10T05:00:00,South Mayde Cr
22031,-95.76947,29.87522,3179080.3,3638088.1,434790,148.05,45.126,46.10,-0.974,no,2,NAVD88,2,good,Riverine,2017-09-10T05:00:00,Bear Cr
22032,-95.77007,29.87501,3179025.5,3638047.9,1739665,149.42,45.543,45.73,-0.187,no,2,NAVD88,3,fair,Riverine,2017-09-10T05:00:00,Bear Cr
22033,-95.73068,29.86147,3183448.4,3637495.0,1759104,135.9,41.422,40.37,1.052,yes,2,NAVD88,2,good,Riverine,2017-09-10T05:00:00,Bear Cr
21642,-95.89927,29.78542,3168526.7,3624202.3,1229525,155.6,47.427,47.57,-0.143,no,2,NAVD88,4,poor,Riverine,2017-09-08T05:00:00,Willow Fork
22034,-95.72979,29.86147,3183539.2,3637518.3,1756369,135.12,41.185,38.80,2.385,yes,2,NAVD88,3,fair,Riverine,2017-09-10T05:00:00,Bear Cr
21644,-95.89927,29.78542,3168526.7,3624202.3,1229525,158.59,48.338,47.57,0.768,yes,2,NAVD88,3,fair,Riverine,2017-09-08T05:00:00,Willow Fork
22035,-95.72167,29.88686,3183603.5,3640701.6,1566345,136.39,41.572,40.83,0.742,yes,2,NAVD88,4,poor,Riverine,2017-09-10T05:00:00,Dinner Cr
22036,-95.70417,29.902,3184931.6,3642932.0,1531,136.86,41.715,42.53,-0.815,no,2,NAVD88,3,fair,Riverine,2017-09-10T05:00:00,Langham Cr
22037,-95.68169,29.91324,3186884.1,3644837.4,1665511,136.09,41.480,42.37,-0.890,no,2,NAVD88,4,poor,Riverine,2017-09-10T05:00:00,Horsepen Cr
22038,-95.68177,29.91402,3186852.5,3644926.6,1665531,136.06,41.471,42.43,-0.959,no,2,NAVD88,4,poor,Riverine,2017-09-10T05:00:00,Horsepen Cr
21648,-95.84458,29.78443,3174136.3,3625508.0,1202487,138.85,42.321,42.67,-0.349,no,2,NAVD88,2,good,Riverine,2017-09-08T05:00:00,Snake Cr
22039,-95.71543,29.93966,3182649.4,3647041.9,1634607,148.95,45.400,45.97,-0.570,no,2,NAVD88,3,fair,Riverine,2017-09-10T05:00:00,Cypress Creek
22041,-95.64598,29.89641,3191032.5,3643807.3,1970550,119.13,36.311,36.80,-0.489,no,2,NAVD88,3,fair,Riverine,2017-09-10T05:00:00,Horsepen Cr
21650,-95.84458,29.78443,3174136.3,3625508.0,1202487,134.8,41.087,42.67,-1.583,no,2,NAVD88,4,poor,Riverine,2017-09-08T05:00:00,Snake Cr
21657,-95.82564,29.77993,3176203.5,3625474.7,298099,143.38,43.702,40.73,2.972,yes,2,NAVD88,4,poor,Riverine,2017-09-08T05:00:00,Buffalo Bayou
21658,-95.76207,29.79458,3182253.2,3628847.2,254968,127.29,38.798,40.77,-1.972,no,2,NAVD88,4,poor,Riverine,2017-09-08T05:00:00,Mason Cr
21662,-95.82202,29.76528,3177010.3,3623855.0,811051,129.45,39.456,39.83,-0.374,no,2,NAVD88,2,good,Riverine,2017-09-08T05:00:00,Buffalo Bayou
21663,-95.82203,29.76526,3177009.9,3623852.4,811081,129.41,39.444,39.33,0.114,yes,2,NAVD88,1,excellent,Riverine,2017-09-08T05:00:00,Buffalo Bayou
21664,-95.82276,29.76425,3176965.5,3623715.2,810660,128.74,39.240,40.37,-1.130,no,2,NAVD88,3,fair,Riverine,2017-09-08T05:00:00,Buffalo Bayou
21665,-95.82548,29.75001,3177112.8,3621978.3,754021,120.42,36.704,39.80,-3.096,no,2,NAVD88,4,poor,Riverine,2017-09-08T05:00:00,Buffalo Bayou
21666,-95.82549,29.75011,3177108.8,3621989.7,754021,120.87,36.841,39.80,-2.959,no,2,NAVD88,4,poor,Riverine,2017-09-08T05:00:00,Buffalo Bayou
21667,-95.78379,29.74534,3181509.2,3622518.2,832831,117.13,35.701,36.80,-1.099,no,2,NAVD88,1,excellent,Riverine,2017-09-08T05:00:00,Buffalo Bayou
21668,-95.78409,29.74527,3181480.7,3622502.2,827058,117.08,35.686,36.40,-0.714,no,2,NAVD88,1,excellent,Riverine,2017-09-08T05:00:00,Buffalo Bayou
21671,-95.74881,29.73643,3185348.4,3622388.4,888259,100.46,30.620,31.87,-1.250,no,2,NAVD88,4,poor,Riverine,2017-09-08T05:00:00,Buffalo Bayou
21672,-95.74888,29.73634,3185343.9,3622376.1,888257,100.27,30.562,32.80,-2.238,no,2,NAVD88,4,poor,Riverine,2017-09-08T05:00:00,Buffalo Bayou
25169,-95.613876,29.781228,3197784.8,3631169.7,40741,80.45,24.521,24.73,-0.209,no,2,NAVD88,1,excellent,Riverine,2017-09-26T05:00:00,Buffalo Bayou Trib
25171,-95.58727,29.92373,3196191.7,3648552.0,2039216,115.8,35.296,36.47,-1.174,no,2,NAVD88,2,good,Riverine,2017-09-26T05:00:00,White Oak Bayou
25173,-95.5557,29.88749,3200509.7,3645143.9,2102941,97.49,29.715,31.60,-1.885,no,2,NAVD88,2,good,Riverine,2017-09-26T05:00:00,White Oak Bayou
25179,-95.5325,29.88709,3202888.6,3645710.5,2133572,94.68,28.858,29.73,-0.872,no,2,NAVD88,1,excellent,Riverine,2017-09-26T05:00:00,Rolling Fork
25175,-95.57372,29.88837,3198644.9,3644771.0,2095517,102.54,31.254,32.23,-0.976,no,2,NAVD88,1,excellent,Riverine,2017-09-26T05:00:00,White Oak Bayou Trib
25177,-95.52413,29.86061,3204546.3,3642831.6,571354,86.04,26.225,27.03,-0.805,no,2,NAVD88,4,poor,Riverine,2017-09-26T05:00:00,Cole Creek
25184,-95.54056,29.75367,3206107.6,3629874.0,2767874,67.76,20.653,19.13,1.523,yes,2,NAVD88,1,excellent,Riverine,2017-09-26T05:00:00,Buffalo Bayou
25187,-95.46898,29.86273,3210110.9,3644540.5,2230231,75.02,22.866,22.27,0.596,yes,2,NAVD88,1,excellent,Riverine,2017-09-27T05:00:00,White Oak Bayou
25188,-95.45286,29.83264,3212672.3,3641443.8,2352519,65.5,19.964,19.50,0.464,yes,2,NAVD88,1,excellent,Riverine,2017-09-27T05:00:00,White Oak Bayou
25189,-95.481466,29.826044,3209951.4,3639913.0,2336641,70.8,21.580,21.57,0.010,yes,2,NAVD88,2,good,Riverine,2017-09-27T05:00:00,Brickhouse Gully
25191,-95.44712,29.81895,3213675.0,3639992.5,2502898,60.2,18.349,17.80,0.549,yes,2,NAVD88,1,excellent,Riverine,2017-09-27T05:00:00,White Oak Bayou
